"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.138649470E-1,9.312540889E-1,1.030855179E-1,-6.166768074E-1,1.121673342E0
7.218910700E-1,9.846526384E-1,-3.196668625E-2,-1.944775581E-1,1.004183354E0
7.298561580E-1,9.454774857E-1,-3.124427795E-2,5.510768890E-1,1.094801178E0
7.378822810E-1,9.946545959E-1,-1.497731209E-1,7.060694695E-1,1.228944201E0
7.458473690E-1,9.457642436E-1,-2.660503387E-1,6.097316742E-1,1.156298189E0
7.538429740E-1,8.640019894E-1,-2.506489754E-1,7.039656639E-1,1.142318696E0
7.618690970E-1,9.002521634E-1,-3.101487160E-1,4.507155418E-1,1.053466033E0
7.698341850E-1,8.465007544E-1,-3.308410645E-1,1.731977463E-1,9.252117576E-1
7.778297910E-1,7.902511358E-1,-2.800154686E-1,-5.774497986E-2,8.403808678E-1
7.857948780E-1,5.979755521E-1,-2.402033806E-1,-2.190508842E-1,6.806289112E-1
7.938210010E-1,5.853504539E-1,-2.754373550E-1,-4.333691597E-1,7.786589234E-1
8.017860890E-1,5.942847133E-1,-3.247370720E-1,-4.960613251E-1,8.394672862E-1
8.097206600E-1,5.349568129E-1,-3.071908951E-1,-2.920508385E-1,6.825237944E-1
8.177467830E-1,5.589740276E-1,-4.537572861E-1,-1.799025536E-1,7.421001058E-1
8.257118710E-1,5.914334655E-1,-4.582099915E-1,-2.030372620E-1,7.752251738E-1
8.337379940E-1,5.665448308E-1,-4.783091545E-1,2.125406265E-2,7.417576611E-1
8.417030820E-1,4.912828207E-1,-4.531898499E-1,2.118573189E-1,7.011585937E-1
8.496681690E-1,4.310571551E-1,-4.508047104E-1,2.594580650E-1,6.755395217E-1
8.576942920E-1,3.980394006E-1,-4.619355202E-1,2.361888885E-1,6.539151170E-1
8.656593800E-1,4.461568594E-1,-4.885730743E-1,5.300426483E-2,6.637537527E-1
8.736244680E-1,5.251088142E-1,-4.387273788E-1,6.111717224E-2,6.869907485E-1
8.816505910E-1,5.472077727E-1,-4.222054482E-1,1.766400337E-1,7.133691110E-1
8.896156790E-1,3.009341359E-1,-4.321603775E-1,4.072461128E-1,6.657126576E-1
8.976112850E-1,1.741014123E-1,-4.291167259E-1,4.545693398E-1,6.489112042E-1
9.055763730E-1,1.078754067E-1,-4.517021179E-1,3.904972076E-1,6.067618774E-1
9.135719780E-1,3.583407402E-2,-5.010747910E-1,3.865880966E-1,6.338851500E-1
9.215370660E-1,-3.666281700E-3,-5.933756828E-1,4.447927475E-1,7.415852822E-1
9.294716360E-1,2.549022436E-2,-4.858093262E-1,3.918404579E-1,6.246594251E-1
9.374977590E-1,1.041639447E-1,-4.113397598E-1,5.008726120E-1,6.564479407E-1
9.454628470E-1,3.134871721E-1,-1.995697021E-1,7.446727753E-1,8.322498515E-1
9.534889700E-1,5.721451640E-1,1.827635765E-1,7.327899933E-1,9.474881466E-1
9.614540580E-1,6.009814739E-1,5.202207565E-1,3.783464432E-1,8.803149428E-1
9.694801810E-1,5.033206344E-1,6.579318047E-1,-1.478228569E-1,8.414615366E-1
9.774452690E-1,4.511102438E-1,6.688117981E-1,-6.572985649E-1,1.040601305E0
9.854713920E-1,6.412703991E-1,6.441311836E-1,-1.048289776E0,1.387459607E0
9.934059620E-1,1.013778806E0,5.741930008E-1,-1.325540543E0,1.764795399E0
1.001432085E0,1.099478126E0,3.236069679E-1,-1.197045803E0,1.657254438E0
1.009427691E0,1.102017522E0,8.303356171E-2,-8.567252159E-1,1.398325887E0
1.017423296E0,1.192844868E0,-1.518192291E-1,-2.118086815E-1,1.220979473E0
1.025388384E0,1.100660205E0,-4.916057587E-1,8.013992310E-1,1.447539235E0
1.033383990E0,7.874898314E-1,-8.627109528E-1,1.870942116E0,2.205637056E0
1.041379595E0,3.743129969E-1,-1.105540752E0,2.934576988E0,3.158175529E0
1.049314166E0,-1.253054142E-1,-1.346120834E0,4.030267715E0,4.250976430E0
1.057340289E0,-7.414219975E-1,-1.605441332E0,4.688326836E0,5.010744153E0
1.065305376E0,-1.148478508E0,-1.912007332E0,4.775039673E0,5.270273124E0
1.073331500E0,-1.209861755E0,-2.136270761E0,4.614748955E0,5.227171907E0
1.081327105E0,-1.021859884E0,-2.261455536E0,4.353345871E0,5.010987830E0
1.089261675E0,-8.091634512E-1,-2.212071180E0,3.772150993E0,4.447148245E0
1.097287798E0,-5.960282087E-1,-2.077240229E0,2.920301437E0,3.632951566E0
1.105252886E0,-3.258360326E-1,-1.868680477E0,1.855964661E0,2.653816246E0
1.113279009E0,-3.385216296E-1,-1.670799971E0,7.822599411E-1,1.875659897E0
1.121274615E0,-5.111312866E-1,-1.573844671E0,-1.353998184E-1,1.660293755E0
1.129270220E0,-5.612102747E-1,-1.425579548E0,-7.209239006E-1,1.693211531E0
1.137265826E0,-4.806598127E-1,-1.274743557E0,-1.248422146E0,1.847853578E0
1.145261431E0,-3.815643787E-1,-1.144479752E0,-1.795246124E0,2.162945659E0
1.153196001E0,-2.334594131E-1,-1.033779621E0,-2.151657104E0,2.398506181E0
1.161222125E0,1.502692699E-2,-9.432868958E-1,-2.418557644E0,2.596042575E0
1.169187212E0,2.404254973E-1,-9.033060074E-1,-2.515210152E0,2.683290568E0
1.177182818E0,4.359671772E-1,-8.948001862E-1,-2.593739986E0,2.778168798E0
1.185147906E0,-4.721328616E-2,-1.025529385E0,-8.871402740E-1,1.356818882E0
1.193174029E0,2.712705433E-1,-8.616127968E-1,-8.611679077E-1,1.248028239E0
1.201200152E0,1.001574159E0,-8.124489784E-1,-3.176727295E-1,1.328209359E0
1.209195757E0,1.000378132E0,-1.013427734E0,2.184391022E-2,1.424173211E0
1.217191363E0,1.006294250E0,-1.278781414E0,-4.660487175E-1,1.692664004E0
1.225186968E0,9.769905806E-1,-1.315349579E0,-7.710671425E-1,1.810856054E0
1.233213091E0,9.302659035E-1,-1.354101658E0,-7.447028160E-1,1.803765017E0
1.241208697E0,6.626351476E-1,-1.474411011E0,-7.043294907E-1,1.763250748E0
1.249143267E0,2.191677988E-1,-1.501182556E0,-3.150458336E-1,1.549463607E0
1.257169390E0,-6.794400215E-1,-1.054447651E0,3.963422775E-1,1.315517310E0
1.265164996E0,-1.103514910E0,-1.406228065E0,7.279338837E-1,1.930054473E0
1.273130083E0,-1.000055671E0,-1.654662371E0,5.541849136E-1,2.011253297E0
1.281156207E0,-4.225850105E-1,-1.609489202E0,4.561281204E-1,1.725423556E0
1.289090777E0,-1.500268281E-1,-1.523825645E0,4.453067780E-1,1.594631861E0
1.297116900E0,-1.724697649E-1,-1.560055971E0,3.514842987E-1,1.608434539E0
1.305081988E0,-9.364982694E-2,-1.663173437E0,1.292333603E-1,1.670813405E0
1.313108111E0,1.764580905E-1,-1.641700983E0,-1.351995468E-1,1.656682979E0
1.321073199E0,4.357117414E-1,-1.534291506E0,-2.165040970E-1,1.609586646E0
1.329099322E0,6.025844216E-1,-1.523209810E0,-1.671009064E-1,1.646571840E0
1.337064410E0,7.885488272E-1,-1.494186163E0,-1.541252136E-1,1.696512931E0
1.345060015E0,8.343254924E-1,-1.445983171E0,-1.097812653E-1,1.673026684E0
1.353055621E0,8.348973989E-1,-1.344472885E0,6.755352020E-2,1.584053182E0
1.361051226E0,8.046334386E-1,-1.289215565E0,2.159309387E-1,1.534971633E0
1.368985796E0,6.441212893E-1,-1.211957455E0,1.995487213E-1,1.386922060E0
1.377011919E0,4.243903756E-1,-1.098587036E0,3.046417236E-2,1.178103872E0
1.385007525E0,2.909321785E-1,-9.345598221E-1,-1.119260788E-1,9.851756395E-1
1.392972613E0,2.703099549E-1,-8.131461143E-1,-1.606674194E-1,8.718303130E-1
1.400998736E0,3.563679457E-1,-7.644639015E-1,-4.442429543E-1,9.532864060E-1
1.408994341E0,4.037335217E-1,-6.450424194E-1,-8.873620033E-1,1.168970404E0
1.416959429E0,3.533276916E-1,-5.773019791E-1,-1.170563221E0,1.352159860E0
1.424955035E0,2.650703788E-1,-5.189819336E-1,-1.337913036E0,1.459320337E0
1.432950640E0,1.783006489E-1,-4.921588898E-1,-1.529523373E0,1.616617840E0
1.440946246E0,1.092132330E-1,-4.109735489E-1,-1.691652775E0,1.744280912E0
1.448911333E0,6.657481194E-3,-4.057736397E-1,-1.583360672E0,1.634542011E0
1.456937457E0,-4.348218441E-2,-4.434609413E-1,-1.285769463E0,1.360790733E0
1.464902544E0,-1.136250496E-1,-4.847483635E-1,-9.320669174E-1,1.056712055E0
1.472928667E0,-1.418704987E-1,-5.352330208E-1,-4.773564339E-1,7.310750918E-1
1.480893755E0,-8.572459221E-2,-5.953249931E-1,2.016544342E-2,6.018032887E-1
1.488919878E0,6.417512894E-2,-6.343441010E-1,4.472360611E-1,7.788009887E-1
1.496884966E0,1.814909875E-1,-6.630744934E-1,6.986265182E-1,9.801457924E-1
1.504880572E0,2.090016901E-1,-6.752786636E-1,7.345285416E-1,1.019419030E0
1.512845660E0,2.124327123E-1,-6.392846107E-1,6.368389130E-1,9.270254969E-1
1.520871783E0,1.101160645E-1,-5.433368683E-1,4.341640472E-1,7.041583061E-1
1.528836871E0,-9.081083536E-2,-4.465036392E-1,2.457294464E-1,5.176824012E-1
